time,date,room,activity,cource
11:30,19/09/2016,MP Auditorium,Faculty Welcome Talk,Digital Media Technology
11:30,19/09/2016,MP Auditorium,Faculty Welcome Talk,Film Production Technology
11:30,19/09/2016,MP Auditorium,Faculty Welcome Talk,Film Technology and Visual Effects
11:30,19/09/2016,MP Auditorium,Faculty Welcome Talk,Music Technology
11:30,19/09/2016,MP Auditorium,Faculty Welcome Talk,Sound Engineering and Production
14:00,19/09/2016,MP 490,Course Induction Sessions,Digital Media Technology
14:00,19/09/2016,MP 388,Course Induction Sessions,Film Production Technology
14:00,19/09/2016,MP 388,Course Induction Sessions,Film Technology and Visual Effects
14:00,19/09/2016,MP 437,Course Induction Sessions,Music Technology
14:00,19/09/2016,MP 437,Course Induction Sessions,Sound Engineering and Production
17:00,19/09/2016,L2 Reception,Optional Walking Tour of Birmingham,Digital Media Technology
17:00,19/09/2016,L2 Reception,Optional Walking Tour of Birmingham,Film Production Technology
17:00,19/09/2016,L2 Reception,Optional Walking Tour of Birmingham,Film Technology and Visual Effects
17:00,19/09/2016,L2 Reception,Optional Walking Tour of Birmingham,Music Technology
17:00,19/09/2016,L2 Reception,Optional Walking Tour of Birmingham,Sound Engineering and Production
12:00,20/09/2016,MP 492,Undergraduate Programme Activities,Digital Media Technology
12:00,20/09/2016,MP 388,Undergraduate Programme Activities,Film Production Technology
12:00,20/09/2016,MP 388,Undergraduate Programme Activities,Film Technology and Visual Effects
12:00,20/09/2016,MP 437,Undergraduate Programme Activities,Music Technology
12:00,20/09/2016,MP 437,Undergraduate Programme Activities,Sound Engineering and Production
13:00,20/09/2016,MP 437,Centre For Digital Media Technology Welcome and Challenge Event,Digital Media Technology
13:00,20/09/2016,MP 437,Centre For Digital Media Technology Welcome and Challenge Event,Film Production Technology
13:00,20/09/2016,MP 437,Centre For Digital Media Technology Welcome and Challenge Event,Film Technology and Visual Effects
13:00,20/09/2016,MP 437,Centre For Digital Media Technology Welcome and Challenge Event,Music Technology
13:00,20/09/2016,MP 437,Centre For Digital Media Technology Welcome and Challenge Event,Sound Engineering and Production
10:00,22/09/2016,L3 Social Learning Area,Group Personal Tutor Meetings,Digital Media Technology
10:00,22/09/2016,L3 Social Learning Area,Group Personal Tutor Meetings,Film Production Technology
10:00,22/09/2016,L3 Social Learning Area,Group Personal Tutor Meetings,Film Technology and Visual Effects
10:00,22/09/2016,L3 Social Learning Area,Group Personal Tutor Meetings,Music Technology
10:00,22/09/2016,L3 Social Learning Area,Group Personal Tutor Meetings,Sound Engineering and Production
12:00,23/09/2016,MP 388,Optional IT Induction Sessions,Digital Media Technology
12:00,23/09/2016,MP 388,Optional IT Induction Sessions,Film Production Technology
12:00,23/09/2016,MP 388,Optional IT Induction Sessions,Film Technology and Visual Effects
12:00,23/09/2016,MP 388,Optional IT Induction Sessions,Music Technology
12:00,23/09/2016,MP 388,Optional IT Induction Sessions,Sound Engineering and Production
13:00,23/09/2016,MP 388,Optional IT Induction Sessions,Digital Media Technology
13:00,23/09/2016,MP 388,Optional IT Induction Sessions,Film Production Technology
13:00,23/09/2016,MP 388,Optional IT Induction Sessions,Film Technology and Visual Effects
13:00,23/09/2016,MP 388,Optional IT Induction Sessions,Music Technology
13:00,23/09/2016,MP 388,Optional IT Induction Sessions,Sound Engineering and Production
14:00,23/09/2016,Eagle and Ball Pub,The SSA Welcome Week Pub Quiz,Digital Media Technology
14:00,23/09/2016,Eagle and Ball Pub,The SSA Welcome Week Pub Quiz,Film Production Technology
14:00,23/09/2016,Eagle and Ball Pub,The SSA Welcome Week Pub Quiz,Film Technology and Visual Effects
14:00,23/09/2016,Eagle and Ball Pub,The SSA Welcome Week Pub Quiz,Music Technology
14:00,23/09/2016,Eagle and Ball Pub,The SSA Welcome Week Pub Quiz,Sound Engineering and Production
